ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
89,ARCTICSPAEESTIOsaÃ¼hing(11026540),11026540.0,Private limited company,Deleted,14.04.2004,,,,,,,,,,,,10.07.2017
90,ArcticSpasOÃœ(14222135),14222135.0,Private limited company,Enteredintotheregister,15.03.2017,Capitalis2Â 500Â â‚¬,Harju maakond Viimsi vald Haabneeme alevik Paadi tee 3 74001,Retail sale of household articles and equipment n.e.c.,47599 (EMTAK 2008),47.59,"\n                                        Ott Neeme\n, \n                                        Rain Metsma\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Rain Metsma\n,\n                                Management board member\n,15.03.2017,
91,ArcticSpasOÃœ(11032121),11032121.0,Private limited company,Deleted,26.04.2004,,,,,,,,,,,,15.01.2012
92,ArenaSpaceOÃœ(14334957),14334957.0,Private limited company,Enteredintotheregister,19.09.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Narva mnt 13 10151,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,\n                                        COUNTRYWIDE CONSULTANTS LIMITED\n,100.00%,\n                                    2500.00 EUR,\n                                Karl James Cutler\n,\n                                Management board member\n,25.10.2017,
93,ArenduspankOÃœ(16469029),16469029.0,Private limited company,Enteredintotheregister,28.03.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Maakri tn 19/2 10145,Development of building projects,41101 (EMTAK 2008),41.1,"\n, \n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Pirmin Tamm\n,\n                                Management board member\n,28.03.2022,
94,ArenduspartnerInfosÃ¼steemidjaÃ„riprotsessidOÃœ(10365613),10365613.0,Private limited company,Enteredintotheregister,22.01.1998,Capitalis40Â 000Â EEK,Harju maakond Tallinn Haabersti linnaosa VabaÃµhumuuseumi tee 5/1-46a 13522,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,\n                                        Hannes Juuse\n,100.00%,\n                                    40000.00 EEK,\n                                Hannes Juuse\n,\n                                Management board member\n,19.06.2014,
95,mittetulundusÃ¼hingArenduspartner(80229461),80229461.0,Non-profit association,Deleted,15.11.2005,,,,,,,,,,,,15.07.2013
96,ArenduspartnerOÃœ(10942720),10942720.0,Private limited company,Deleted,09.05.2003,,,,,,,,,,,,18.10.2005
97,ArenduspartnerOÃœ(14038182),14038182.0,Private limited company,Deleted,25.04.2016,,,,,,,,,,,,03.02.2021
98,ArmeslowOÃœ(12960128),12960128.0,Private limited company,Enteredintotheregister,08.12.2015,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kristiine linnaosa MustamÃ¤e tee 5-207 10616,Computer programming activities,62011 (EMTAK 2008),62.01,\n,100.00%,\n                                    2500.00 EUR,\n                                Andrus R\xc3\xa4ppo\n,\n                                Management board member\n,08.05.2017,
99,ArtCollectingSpaceOÃœ(16318767),16318767.0,Private limited company,Enteredintotheregister,16.09.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Veskiposti tn 2-1002 10138,Web portals,63121 (EMTAK 2008),63.12,\n                                        Marina Nadeeva\n,100.00%,\n                                    2500.00 EUR,\n                                Marina Nadeeva\n,\n                                Management board member\n,16.09.2021,
100,ArtjomSpasski(11291526),11291526.0,Sole trader,Deleted,03.11.2006,,,,,,,,,,,,21.09.2016
101,ARTSPACEOÃœ(14183760),14183760.0,Private limited company,Enteredintotheregister,12.01.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Valge tn 18g 11415,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,\n                                        \xc5\xbdanna Tikker\n,100.00%,\n                                    2500.00 EUR,\n                                \xc5\xbdanna Tikker\n,\n                                Management board member\n,18.05.2022,
102,ArtSparrowOÃœ(16205655),16205655.0,Private limited company,Enteredintotheregister,13.04.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa LÃ¤Ã¤nemere tee 41-9 13914,Computer programming activities,62011 (EMTAK 2008),62.01,"\n                                        Olga Tabachkova\n, \n                                        Sergey Koshmanov\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Sergey Koshmanov\n,\n                                Management board member\n,13.04.2021,
103,ARUBAUMTRANSOÃœ(12683337),12683337.0,Private limited company,Enteredintotheregister,02.07.2014,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa E. Vilde tee 119-3 12614,Freight transport by road,49411 (EMTAK 2008),49.41,\n                                        Piret Saluste\n,100.00%,\n                                    2500.00 EUR,\n                                Andres Saluste\n,\n                                Management board member\n,14.09.2017,
104,ArvestusPartnerOÃœ(12558635),12558635.0,Private limited company,Enteredintotheregister,24.10.2013,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa A. H. Tammsaare tee 61-18 13415,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,\n                                        Maire Jalak\n,100.00%,\n                                    2500.00 EUR,\n                                Maire Jalak\n,\n                                Management board member\n,24.10.2013,
105,OÃœAsaSpa(10083300),10083300.0,Private limited company,Enteredintotheregister,27.08.1996,Capitalis1Â 920Â 000Â â‚¬,Saare maakond Saaremaa vald Kuressaare linn Pargi tn 12 93810,Hotels,55101 (EMTAK 2008),55.1,\n,100.00%,\n                                    1920000.00 EUR,\n                                Laura Sohvie Liblik\n,\n                                Management board member\n,11.06.2018,
106,AseriTÃ¶Ã¶stusparkOÃœ(14176300),14176300.0,Private limited company,Enteredintotheregister,29.12.2016,Capitalis2Â 502Â â‚¬,LÃ¤Ã¤ne-Viru maakond Viru-Nigula vald Aseri alevik Mere tn 2 43401,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,"\n, \n","50.00%, 50.00%","\n                                    1251.00 EUR, \n                                    1251.00 EUR",\n                                Toomas Tamm\n,\n                                Management board member\n,29.12.2016,
107,AsociaciÃ³ndeCientÃ­ficosEspaÃ±olesenEstonia,,Non-profit association,,,,Harju maakond Tallinn Kesklinna linnaosa Liivalaia tn 13 10118,,,,,,,,,,
108,ASPACEOÃœ(14588586),14588586.0,Private limited company,Enteredintotheregister,17.10.2018,Capitalis2Â 500Â â‚¬,,Other software publishing,58291 (EMTAK 2008),58.29,\n                                        Miran Lee\n,100.00%,\n                                    2500.00 EUR,\n                                Miran Lee\n,\n                                Management board member\n,06.02.2020,
109,aktsiaseltsASPAHULGI(10212909),10212909.0,Public limited company,Deleted,27.06.1997,,,,,,,,,,,,05.03.2002
110,OSAÃœHINGASPALHAMBARAVI(10285541),10285541.0,Private limited company,Deleted,14.10.1997,,,,,,,,,,,,11.05.2022
111,AspaOÃœ(12161234),12161234.0,Private limited company,Enteredintotheregister,14.09.2011,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kristiine linnaosa A. H. Tammsaare tee 47 11316,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,\n                                        Alexander Budanov\n,100.00%,\n                                    2500.00 EUR,\n                                Alexander Budanov\n,\n                                Management board member\n,14.09.2011,
112,osaÃ¼hingAsparagos(10257556),10257556.0,Private limited company,Enteredintotheregister,29.08.1997,Capitalis40Â 000Â EEK,Harju maakond Tallinn Kesklinna linnaosa Filmi tn 6-53 10155,Other real estate management or related activities,68329 (EMTAK 2008),68.32,\n,100.00%,\n                                    40000.00 EEK,\n                                Roman Elo\xc5\xa1vili\n,\n                                Management board member\n,06.09.2004,
113,AsparagusOÃœ(14430891),14430891.0,Private limited company,Enteredintotheregister,16.02.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Kotzebue tn 20-12 10152,Photographic activities,74201 (EMTAK 2008),74.2,\n                                        Jekaterina Prihodko\n,100.00%,\n                                    2500.00 EUR,\n                                Jekaterina Prihodko\n,\n                                Management board member\n,16.02.2018,
114,AsparEestiOsaÃ¼hing(11412488),11412488.0,Private limited company,Enteredintotheregister,03.08.2007,Capitalis60Â 000Â EEK,TÃµrma 17 TÃµrma village Rakvere rural municipality LÃ¤Ã¤ne-Viru county 44406,Activities of holding companies,64201 (EMTAK 2008),64.2,"\n                                        K\xc3\xa4tlin Truman\n, \n                                        Helle Truman\n, \n                                        Katrin Truman-Sillam\xc3\xa4e\n, \n                                        K\xc3\xa4tlin Truman\n, \n                                        Helle Truman\n","66.67%, 16.67%, 16.67%, 16.67%, 16.67%","\n                                    40000.00 EEK, \n                                    10000.00 EEK, \n                                    10000.00 EEK, \n                                    10000.00 EEK, \n                                    10000.00 EEK",\n                                K\xc3\xa4tlin Truman\n,\n                                Management board member\n,13.09.2007,
115,ASPARKOÃœ(14697223),14697223.0,Private limited company,Enteredintotheregister,04.04.2019,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Vesse tn 4 11415,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.2,\n                                        Sergei \xc5\xa0estopalov\n,100.00%,\n                                    2500.00 EUR,\n                                Aleksei Artemev\n,\n                                Management board member\n,29.04.2022,
116,osaÃ¼hingAspar(10442584),10442584.0,Private limited company,Deleted,27.05.1998,,,,,,,,,,,,11.03.2004
117,AsparTeenusedOÃœ(12743002),12743002.0,Private limited company,Enteredintotheregister,28.10.2014,Capitalis2Â 508Â â‚¬,Rapla maakond MÃ¤rjamaa vald SÃµtke kÃ¼la Metsanurga tn 4 78318,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,\n                                        Aare M\xc3\xbcil\n,100.00%,\n                                    2508.00 EUR,\n                                Helju M\xc3\xbcil\n,\n                                Management board member\n,04.03.2015,
118,OsaÃ¼hingASPAR-TRANS(10090576),10090576.0,Private limited company,Enteredintotheregister,10.02.1997,Capitalis8Â 760Â â‚¬,Rapla maakond MÃ¤rjamaa vald MÃ¤rjamaa alev Pihlaka tn 7 78301,Freight transport by road,49411 (EMTAK 2008),49.41,\n                                        Aare M\xc3\xbcil\n,100.00%,\n                                    8760.00 EUR,\n                                Aare M\xc3\xbcil\n,\n                                Management board member\n,02.01.2006,
119,AsparuhOÃœ(14508541),14508541.0,Private limited company,Enteredintotheregister,15.06.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Lambi tn 4 10112,Other building completion and finishing,43391 (EMTAK 2008),43.39,\n                                        Krasimir Donchev Kostov\n,100.00%,\n                                    2500.00 EUR,\n                                Krasimir Donchev Kostov\n,\n                                Management board member\n,15.06.2018,
120,ASTRANCEOÃœ(12228530),12228530.0,Private limited company,Deleted,31.01.2012,,,,,,,,,,,,04.02.2021
121,AtlasAerospaceAccessoriesEestiOÃœ(12307424),12307424.0,Private limited company,Deleted,28.06.2012,,,,,,,,,,,,09.10.2019
122,ATRakennuspalveluOÃœ(11924575),11924575.0,Private limited company,Deleted,13.04.2010,,,,,,,,,,,,18.08.2017
123,MTÃœAuspaus(80393870),80393870.0,Non-profit association,Enteredintotheregister,01.12.2015,,VÃµru maakond Setomaa vald MikitamÃ¤e kÃ¼la Kristjaania 64301,Performing arts,9001 (EMTAK 2008),90.01,,,,\n                                Arno Tamm\n,\n                                Management board member\n,01.12.2015,
124,AutoCoinPaymentsOÃœ(14613108),14613108.0,Private limited company,Enteredintotheregister,26.11.2018,Capitalis100Â 000Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa VÃ¤ike-Paala tn 2 11415,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,\n                                        Luke William Willmott\n,100.00%,\n                                    100000.00 EUR,\n                                Mustansar Iqbal\n,\n                                Management board member\n,10.10.2022,
